Time,Energy,w
2023-01-01 06:00:00_B_0,32.00805,1
2023-01-01 11:00:00_B_0,60.390934,1
2023-01-01 12:00:00_B_0,58.007496,1
2023-01-01 13:00:00_B_0,59.62438,1
2023-01-01 23:00:00_B_0,57.81249,1
2023-01-02 07:00:00_B_0,57.11914,1
2023-01-02 19:00:00_B_0,62.82624,1
2023-01-04 02:00:00_B_0,38.536823,1
2023-01-04 05:00:00_B_0,21.278385,1
2023-01-04 09:00:00_B_0,56.20294,1
2023-01-04 13:00:00_B_0,64.07638,1
2023-01-05 02:00:00_B_0,45.65351,1
2023-01-05 06:00:00_B_0,16.731018,1
2023-01-05 11:00:00_B_0,61.507633,1
2023-01-05 13:00:00_B_0,60.157658,1
2023-01-05 18:00:00_B_0,58.58965,1
2023-01-06 06:00:00_B_0,19.44742,1
2023-01-06 22:00:00_B_0,49.59023,1
2023-01-07 10:00:00_B_0,61.22754,1
2023-01-01 02:00:00_B_1,16.786072,1
2023-01-01 09:00:00_B_1,17.081125,1
2023-01-02 13:00:00_B_1,17.664486,1
2023-01-02 15:00:00_B_1,17.958164,1
2023-01-02 18:00:00_B_1,18.128601,1
2023-01-03 01:00:00_B_1,16.821205,1
2023-01-03 05:00:00_B_1,16.815022,1
2023-01-03 13:00:00_B_1,17.613781,1
2023-01-03 14:00:00_B_1,17.79623,1
2023-01-03 17:00:00_B_1,18.150455,1
2023-01-03 18:00:00_B_1,18.154266,1
2023-01-03 23:00:00_B_1,18.000177,1
2023-01-04 01:00:00_B_1,16.894106,1
2023-01-04 03:00:00_B_1,16.846972,1
2023-01-04 08:00:00_B_1,16.993082,1
2023-01-04 09:00:00_B_1,17.072998,1
2023-01-04 12:00:00_B_1,17.403866,1
2023-01-04 16:00:00_B_1,18.12884,1
2023-01-04 19:00:00_B_1,18.073706,1
2023-01-04 22:00:00_B_1,18.030432,1
2023-01-05 11:00:00_B_1,17.304186,1
2023-01-05 18:00:00_B_1,18.131939,1
2023-01-05 19:00:00_B_1,18.044977,1
2023-01-05 20:00:00_B_1,18.043127,1
2023-01-05 23:00:00_B_1,18.294586,1
2023-01-06 03:00:00_B_1,16.865501,1
2023-01-06 05:00:00_B_1,16.867939,1
2023-01-06 17:00:00_B_1,18.040068,1
2023-01-01 02:00:00_B_2,50.383644,1
2023-01-01 05:00:00_B_2,50.90961,1
2023-01-01 09:00:00_B_2,56.60777,1
2023-01-02 03:00:00_B_2,51.71981,1
2023-01-02 05:00:00_B_2,52.736786,1
2023-01-02 10:00:00_B_2,56.60196,1
2023-01-02 17:00:00_B_2,56.857845,1
2023-01-02 20:00:00_B_2,56.933426,1
2023-01-02 21:00:00_B_2,57.04186,1
2023-01-03 08:00:00_B_2,55.283287,1
2023-01-03 16:00:00_B_2,56.584976,1
2023-01-03 19:00:00_B_2,57.46352,1
2023-01-03 22:00:00_B_2,57.649574,1
2023-01-04 11:00:00_B_2,56.357258,1
2023-01-04 12:00:00_B_2,56.402588,1
2023-01-04 17:00:00_B_2,57.10669,1
2023-01-04 23:00:00_B_2,57.26058,1
2023-01-05 00:00:00_B_2,52.097687,1
2023-01-05 06:00:00_B_2,49.86761,1
2023-01-05 10:00:00_B_2,55.46181,1
2023-01-05 20:00:00_B_2,57.03914,1
2023-01-06 03:00:00_B_2,50.762047,1
2023-01-06 04:00:00_B_2,50.044147,1
2023-01-06 19:00:00_B_2,57.607548,1
2023-01-07 06:00:00_B_2,50.621746,1
2023-01-01 08:00:00_B_3,38.119816,1
2023-01-01 15:00:00_B_3,34.661907,1
2023-01-01 17:00:00_B_3,43.534473,1
2023-01-01 18:00:00_B_3,49.401375,1
2023-01-01 22:00:00_B_3,45.69273,1
2023-01-02 00:00:00_B_3,34.741737,1
2023-01-02 02:00:00_B_3,21.871984,1
2023-01-02 03:00:00_B_3,21.750767,1
