Time,Energy,w
2023-01-01 06:00:00_B_0,43.14039,1
2023-01-01 11:00:00_B_0,60.77413,1
2023-01-01 12:00:00_B_0,58.608856,1
2023-01-01 13:00:00_B_0,63.104378,1
2023-01-01 23:00:00_B_0,60.05938,1
2023-01-02 07:00:00_B_0,54.564823,1
2023-01-02 19:00:00_B_0,67.18227,1
2023-01-04 02:00:00_B_0,44.36325,1
2023-01-04 05:00:00_B_0,31.32679,1
2023-01-04 09:00:00_B_0,53.545166,1
2023-01-04 13:00:00_B_0,64.658165,1
2023-01-05 02:00:00_B_0,44.70157,1
2023-01-05 06:00:00_B_0,12.6459465,1
2023-01-05 11:00:00_B_0,56.320076,1
2023-01-05 13:00:00_B_0,57.92698,1
2023-01-05 18:00:00_B_0,61.39708,1
2023-01-06 06:00:00_B_0,33.09746,1
2023-01-06 22:00:00_B_0,48.075546,1
2023-01-07 10:00:00_B_0,55.57508,1
2023-01-01 02:00:00_B_1,16.890484,1
2023-01-01 09:00:00_B_1,16.88659,1
2023-01-02 13:00:00_B_1,17.605335,1
2023-01-02 15:00:00_B_1,17.899805,1
2023-01-02 18:00:00_B_1,18.029972,1
2023-01-03 01:00:00_B_1,16.930145,1
2023-01-03 05:00:00_B_1,16.655348,1
2023-01-03 13:00:00_B_1,17.597092,1
2023-01-03 14:00:00_B_1,17.809635,1
2023-01-03 17:00:00_B_1,18.11052,1
2023-01-03 18:00:00_B_1,18.127262,1
2023-01-03 23:00:00_B_1,18.221668,1
2023-01-04 01:00:00_B_1,17.122639,1
2023-01-04 03:00:00_B_1,16.872332,1
2023-01-04 08:00:00_B_1,16.903004,1
2023-01-04 09:00:00_B_1,16.995625,1
2023-01-04 12:00:00_B_1,17.390186,1
2023-01-04 16:00:00_B_1,18.136257,1
2023-01-04 19:00:00_B_1,18.095627,1
2023-01-04 22:00:00_B_1,18.197813,1
2023-01-05 11:00:00_B_1,17.29677,1
2023-01-05 18:00:00_B_1,18.124805,1
2023-01-05 19:00:00_B_1,18.08942,1
2023-01-05 20:00:00_B_1,18.112844,1
2023-01-05 23:00:00_B_1,18.425587,1
2023-01-06 03:00:00_B_1,16.942526,1
2023-01-06 05:00:00_B_1,16.825863,1
2023-01-06 17:00:00_B_1,18.06918,1
2023-01-01 02:00:00_B_2,50.34758,1
2023-01-01 05:00:00_B_2,49.951126,1
2023-01-01 09:00:00_B_2,54.634674,1
2023-01-02 03:00:00_B_2,50.909958,1
