Time,Energy,w
2023-01-01 06:00:00_B_0,45.01445,1
2023-01-01 11:00:00_B_0,65.083244,1
2023-01-01 12:00:00_B_0,62.769966,1
2023-01-01 13:00:00_B_0,65.13974,1
2023-01-01 23:00:00_B_0,62.04035,1
2023-01-02 07:00:00_B_0,57.383297,1
2023-01-02 19:00:00_B_0,69.046165,1
2023-01-04 02:00:00_B_0,46.786217,1
2023-01-04 05:00:00_B_0,9.71474,1
2023-01-04 09:00:00_B_0,57.494667,1
2023-01-04 13:00:00_B_0,70.36498,1
2023-01-05 02:00:00_B_0,48.64913,1
2023-01-05 06:00:00_B_0,9.395412,1
2023-01-05 11:00:00_B_0,64.85864,1
2023-01-05 13:00:00_B_0,64.853516,1
2023-01-05 18:00:00_B_0,67.272415,1
2023-01-06 06:00:00_B_0,10.170359,1
2023-01-06 22:00:00_B_0,54.18306,1
2023-01-07 10:00:00_B_0,61.05787,1
2023-01-01 02:00:00_B_1,16.99425,1
2023-01-01 09:00:00_B_1,17.238884,1
2023-01-02 13:00:00_B_1,17.979769,1
2023-01-02 15:00:00_B_1,18.144842,1
2023-01-02 18:00:00_B_1,18.236208,1
2023-01-03 01:00:00_B_1,16.99543,1
2023-01-03 05:00:00_B_1,16.88398,1
2023-01-03 13:00:00_B_1,17.885275,1
2023-01-03 14:00:00_B_1,18.042765,1
2023-01-03 17:00:00_B_1,18.225512,1
2023-01-03 18:00:00_B_1,18.248896,1
2023-01-03 23:00:00_B_1,18.301962,1
2023-01-04 01:00:00_B_1,17.051998,1
2023-01-04 03:00:00_B_1,16.994331,1
2023-01-04 08:00:00_B_1,17.057764,1
2023-01-04 09:00:00_B_1,17.176023,1
2023-01-04 12:00:00_B_1,17.657701,1
2023-01-04 16:00:00_B_1,18.230154,1
2023-01-04 19:00:00_B_1,18.24962,1
2023-01-04 22:00:00_B_1,18.294622,1
2023-01-05 11:00:00_B_1,17.531574,1
2023-01-05 18:00:00_B_1,18.264877,1
2023-01-05 19:00:00_B_1,18.252115,1
2023-01-05 20:00:00_B_1,18.265335,1
2023-01-05 23:00:00_B_1,18.346455,1
2023-01-06 03:00:00_B_1,17.133263,1
2023-01-06 05:00:00_B_1,17.13343,1
2023-01-06 17:00:00_B_1,18.24463,1
2023-01-01 02:00:00_B_2,50.547707,1
2023-01-01 05:00:00_B_2,50.492157,1
2023-01-01 09:00:00_B_2,53.867233,1
2023-01-02 03:00:00_B_2,50.928745,1
2023-01-02 05:00:00_B_2,51.69365,1
