Time,Energy,w
2023-01-01 06:00:00_B_0,41.692425,1
2023-01-01 11:00:00_B_0,54.410717,1
2023-01-01 12:00:00_B_0,53.36382,1
2023-01-01 13:00:00_B_0,54.33508,1
2023-01-01 23:00:00_B_0,58.77936,1
2023-01-02 07:00:00_B_0,55.42719,1
2023-01-02 19:00:00_B_0,60.732815,1
2023-01-04 02:00:00_B_0,43.813007,1
2023-01-04 05:00:00_B_0,36.30824,1
2023-01-04 09:00:00_B_0,52.402378,1
2023-01-04 13:00:00_B_0,57.14689,1
2023-01-05 02:00:00_B_0,47.87199,1
2023-01-05 06:00:00_B_0,35.025356,1
2023-01-05 11:00:00_B_0,54.520473,1
2023-01-05 13:00:00_B_0,54.60053,1
2023-01-05 18:00:00_B_0,58.531322,1
2023-01-06 06:00:00_B_0,36.504654,1
2023-01-06 22:00:00_B_0,55.583866,1
2023-01-07 10:00:00_B_0,55.592594,1
2023-01-01 02:00:00_B_1,16.518433,1
2023-01-01 09:00:00_B_1,17.24926,1
2023-01-02 13:00:00_B_1,17.646935,1
2023-01-02 15:00:00_B_1,17.740675,1
2023-01-02 18:00:00_B_1,17.828579,1
2023-01-03 01:00:00_B_1,16.400797,1
2023-01-03 05:00:00_B_1,16.675272,1
2023-01-03 13:00:00_B_1,17.592688,1
2023-01-03 14:00:00_B_1,17.650156,1
2023-01-03 17:00:00_B_1,17.834616,1
2023-01-03 18:00:00_B_1,17.861914,1
2023-01-03 23:00:00_B_1,17.841885,1
2023-01-04 01:00:00_B_1,16.471893,1
2023-01-04 03:00:00_B_1,16.595753,1
2023-01-04 08:00:00_B_1,17.096508,1
2023-01-04 09:00:00_B_1,17.22705,1
2023-01-04 12:00:00_B_1,17.487535,1
2023-01-04 16:00:00_B_1,17.78626,1
2023-01-04 19:00:00_B_1,17.79433,1
2023-01-04 22:00:00_B_1,17.837082,1
2023-01-05 11:00:00_B_1,17.418589,1
2023-01-05 18:00:00_B_1,17.802057,1
2023-01-05 19:00:00_B_1,17.73384,1
2023-01-05 20:00:00_B_1,17.767963,1
2023-01-05 23:00:00_B_1,17.93782,1
2023-01-06 03:00:00_B_1,16.494232,1
2023-01-06 05:00:00_B_1,16.64418,1
