Time,Energy,w
2023-01-01 06:00:00_B_0,39.64709,1
2023-01-01 11:00:00_B_0,60.087025,1
2023-01-01 12:00:00_B_0,57.848366,1
2023-01-01 13:00:00_B_0,59.476448,1
2023-01-01 23:00:00_B_0,57.75949,1
2023-01-02 07:00:00_B_0,54.11694,1
2023-01-02 19:00:00_B_0,61.19033,1
2023-01-04 02:00:00_B_0,39.79457,1
2023-01-04 05:00:00_B_0,22.832502,1
2023-01-04 09:00:00_B_0,52.88354,1
2023-01-04 13:00:00_B_0,61.404995,1
2023-01-05 02:00:00_B_0,44.374855,1
2023-01-05 06:00:00_B_0,15.06706,1
2023-01-05 11:00:00_B_0,56.938744,1
2023-01-05 13:00:00_B_0,55.914925,1
2023-01-05 18:00:00_B_0,58.075138,1
2023-01-06 06:00:00_B_0,23.62548,1
2023-01-06 22:00:00_B_0,51.29954,1
2023-01-07 10:00:00_B_0,56.36345,1
2023-01-01 02:00:00_B_1,16.486101,1
2023-01-01 09:00:00_B_1,16.800764,1
2023-01-02 13:00:00_B_1,17.398718,1
2023-01-02 15:00:00_B_1,17.678896,1
2023-01-02 18:00:00_B_1,17.884623,1
2023-01-03 01:00:00_B_1,16.411173,1
2023-01-03 05:00:00_B_1,16.49208,1
2023-01-03 13:00:00_B_1,17.336897,1
2023-01-03 14:00:00_B_1,17.563288,1
2023-01-03 17:00:00_B_1,17.930443,1
2023-01-03 18:00:00_B_1,17.991081,1
2023-01-03 23:00:00_B_1,18.218132,1
2023-01-04 01:00:00_B_1,16.424362,1
2023-01-04 03:00:00_B_1,16.457634,1
2023-01-04 08:00:00_B_1,16.684177,1
2023-01-04 09:00:00_B_1,16.77613,1
2023-01-04 12:00:00_B_1,17.005089,1
2023-01-04 16:00:00_B_1,17.937006,1
2023-01-04 19:00:00_B_1,18.03005,1
2023-01-04 22:00:00_B_1,18.273205,1
2023-01-05 11:00:00_B_1,16.95587,1
2023-01-05 18:00:00_B_1,18.088043,1
2023-01-05 19:00:00_B_1,18.074389,1
2023-01-05 20:00:00_B_1,18.170832,1
2023-01-05 23:00:00_B_1,18.79197,1
2023-01-06 03:00:00_B_1,16.424576,1
2023-01-06 05:00:00_B_1,16.47011,1
2023-01-06 17:00:00_B_1,18.002018,1
2023-01-01 02:00:00_B_2,51.634136,1
2023-01-01 05:00:00_B_2,51.79402,1
2023-01-01 09:00:00_B_2,53.95441,1
2023-01-02 03:00:00_B_2,51.842308,1
2023-01-02 05:00:00_B_2,52.363792,1
2023-01-02 10:00:00_B_2,54.151253,1
2023-01-02 17:00:00_B_2,54.81561,1
2023-01-02 20:00:00_B_2,55.604485,1
2023-01-02 21:00:00_B_2,56.180588,1
2023-01-03 08:00:00_B_2,53.70284,1
2023-01-03 16:00:00_B_2,54.041695,1
2023-01-03 19:00:00_B_2,56.425747,1
2023-01-03 22:00:00_B_2,58.554935,1
2023-01-04 11:00:00_B_2,54.016376,1
2023-01-04 12:00:00_B_2,53.965984,1
2023-01-04 17:00:00_B_2,55.34746,1
2023-01-04 23:00:00_B_2,58.04645,1
2023-01-05 00:00:00_B_2,53.47121,1
2023-01-05 06:00:00_B_2,51.19152,1
2023-01-05 10:00:00_B_2,53.585663,1
2023-01-05 20:00:00_B_2,56.52727,1
2023-01-06 03:00:00_B_2,51.97866,1
2023-01-06 04:00:00_B_2,51.50522,1
2023-01-06 19:00:00_B_2,58.054577,1
2023-01-07 06:00:00_B_2,51.877995,1
2023-01-01 08:00:00_B_3,37.112232,1
2023-01-01 15:00:00_B_3,36.09183,1
2023-01-01 17:00:00_B_3,41.595722,1
2023-01-01 18:00:00_B_3,44.41173,1
2023-01-01 22:00:00_B_3,42.05412,1
2023-01-02 00:00:00_B_3,34.393997,1
2023-01-02 02:00:00_B_3,25.03863,1
2023-01-02 03:00:00_B_3,22.937073,1
