Time,Energy,w
2023-01-01 06:00:00_B_0,41.150513,1
2023-01-01 11:00:00_B_0,60.09478,1
2023-01-01 12:00:00_B_0,57.60627,1
2023-01-01 13:00:00_B_0,60.01059,1
2023-01-01 23:00:00_B_0,58.1112,1
2023-01-02 07:00:00_B_0,53.37978,1
2023-01-02 19:00:00_B_0,62.565193,1
2023-01-04 02:00:00_B_0,39.92209,1
2023-01-04 05:00:00_B_0,22.837399,1
2023-01-04 09:00:00_B_0,51.143898,1
2023-01-04 13:00:00_B_0,65.07824,1
2023-01-05 02:00:00_B_0,41.75638,1
2023-01-05 06:00:00_B_0,14.421663,1
2023-01-05 11:00:00_B_0,57.380676,1
2023-01-05 13:00:00_B_0,56.89274,1
2023-01-05 18:00:00_B_0,61.396233,1
2023-01-06 06:00:00_B_0,17.698418,1
2023-01-06 22:00:00_B_0,51.90513,1
2023-01-07 10:00:00_B_0,58.18003,1
2023-01-01 02:00:00_B_1,16.802906,1
2023-01-01 09:00:00_B_1,17.062132,1
2023-01-02 13:00:00_B_1,17.643938,1
2023-01-02 15:00:00_B_1,17.87532,1
2023-01-02 18:00:00_B_1,18.048244,1
2023-01-03 01:00:00_B_1,16.716965,1
2023-01-03 05:00:00_B_1,16.726183,1
2023-01-03 13:00:00_B_1,17.659647,1
2023-01-03 14:00:00_B_1,17.802095,1
2023-01-03 17:00:00_B_1,18.064991,1
2023-01-03 18:00:00_B_1,18.11242,1
2023-01-03 23:00:00_B_1,18.348795,1
2023-01-04 01:00:00_B_1,16.745625,1
2023-01-04 03:00:00_B_1,16.728355,1
2023-01-04 08:00:00_B_1,16.964737,1
2023-01-04 09:00:00_B_1,17.070469,1
2023-01-04 12:00:00_B_1,17.529488,1
2023-01-04 16:00:00_B_1,18.05333,1
2023-01-04 19:00:00_B_1,18.14447,1
2023-01-04 22:00:00_B_1,18.307209,1
2023-01-05 11:00:00_B_1,17.407627,1
2023-01-05 18:00:00_B_1,18.140692,1
2023-01-05 19:00:00_B_1,18.144106,1
2023-01-05 20:00:00_B_1,18.19183,1
2023-01-05 23:00:00_B_1,18.6673,1
2023-01-06 03:00:00_B_1,16.690779,1
2023-01-06 05:00:00_B_1,16.747585,1
2023-01-06 17:00:00_B_1,18.062658,1
2023-01-01 02:00:00_B_2,51.188416,1
2023-01-01 05:00:00_B_2,52.178032,1
2023-01-01 09:00:00_B_2,55.18428,1
2023-01-02 03:00:00_B_2,51.98541,1
2023-01-02 05:00:00_B_2,53.032692,1
